Rank,TOP500 Rank,Name,Computer,Site,Manufacturer,Country,Year,Segment,Total Cores,Accelerator/Co-Processor Cores,Rmax [TFlop/s],Rpeak [TFlop/s],Power (kW),Power Source,Power Effeciency [GFlops/Watts],Power Source,Power Quality Level,Measured Cores,Optimized Run (HPL),Optimized Run (Peak Power),Architecture,Processor,Processor Technology,Processor Speed (MHz),Operating System,OS Family,Accelerator/Co-Processor,Cores per Socket,Processor Generation,System Model,System Family,Interconnect Family,Interconnect,Region,Continent,Site ID,System ID
1,359,Shoubu system B,"ZettaScaler-2.2, Xeon D-1571 16C 1.3GHz, Infiniband EDR, PEZY-SC2","Advanced Center for Computing and Communication, RIKEN",PEZY Computing / Exascaler Inc.,Japan,2016,Research,794400,793600,858,1128,47,Submitted,18,,1,384,,,Cluster,Xeon D-1571 16C 1.3GHz,Intel Broadwell,1300,CentOS,Linux,PEZY-SC2 500Mhz,16,Intel Xeon E5 (Broadwell),ZettaScaler-2.2,Pezy/Exascaler Cluster,Infiniband,Infiniband EDR,Eastern Asia,Asia,50577,179165
2,419,Suiren2,"ZettaScaler-2.2, Xeon D-1571 16C 1.3GHz, Infiniband EDR, PEZY-SC2",High Energy Accelerator Research Organization /KEK,PEZY Computing / Exascaler Inc.,Japan,2017,Research,762624,761856,798,1083,47,Submitted,17,,1,256,,,Cluster,Xeon D-1571 16C 1.3GHz,Intel Broadwell,1300,CentOS,Linux,PEZY-SC2 500Mhz,16,Intel Xeon E5 (Broadwell),ZettaScaler-2.2,Pezy/Exascaler Cluster,Infiniband,Infiniband EDR,Eastern Asia,Asia,47988,179164
3,385,Sakura,"ZettaScaler-2.2, Xeon E5-2618Lv3  8C 2.3GHz, Infiniband EDR, PEZY-SC2",PEZY Computing K.K.,PEZY Computing / Exascaler Inc.,Japan,2016,Industry,794400,793600,825,1128,50,Submitted,17,,1,800,,,Cluster,Xeon E5-2618Lv3  8C 2.3GHz,Intel Haswell,2300,CentOS,Linux,PEZY-SC2 500Mhz,8,Intel Xeon E5 (Haswell),ZettaScaler-2.2,Pezy/Exascaler Cluster,Infiniband,Infiniband EDR,Eastern Asia,Asia,50638,178807
4,227,DGX SaturnV Volta,"NVIDIA DGX-1 Volta36, Xeon E5-2698v4 20C 2.2GHz, Infiniband EDR, NVIDIA Tesla V100",NVIDIA Corporation,Nvidia,United States,2017,Industry,22440,21120,1070,1820,97,Optimized,15,Optimized,2,1320,937,62,Cluster,Xeon E5-2698v4 20C 2.2GHz,Intel Broadwell,2200,Ubuntu Linux,Linux,NVIDIA Tesla V100,20,Intel Xeon E5 (Broadwell),NVIDIA DGX-1 Volta36,NVIDIA DGX,Infiniband,Infiniband EDR,North America,Americas,48448,179166
5,1,Summit,"IBM Power System AC922, IBM POWER9 22C 3.07GHz, NVIDIA Volta GV100, Dual-rail Mellanox EDR Infiniband",DOE/SC/Oak Ridge National Laboratory,IBM,United States,2018,Research,2282544,2090880,122300,187659,8806,Submitted,14,,3,2282544,,,Cluster,IBM POWER9 22C 3.07GHz,Power,3070,RHEL 7.4,Linux,NVIDIA Volta GV100,22,IBM POWER9,IBM Power System AC922, IBM Power Systems,Infiniband,Dual-rail Mellanox EDR Infiniband,North America,Americas,48553,179397
6,19,TSUBAME3.0,"SGI ICE XA, IP139-SXM2, Xeon E5-2680v4 14C 2.4GHz, Intel Omni-Path, NVIDIA Tesla P100 SXM2","GSIC Center, Tokyo Institute of Technology",HPE,Japan,2017,Academic,135828,120736,8125,12127,792,Optimized,14,Optimized,1,135828,7027,513,Cluster,Xeon E5-2680v4 14C 2.4GHz,Intel Broadwell,2400,SUSE Linux Enterprise Server 12 SP1,Linux,NVIDIA Tesla P100 NVLink,14,Intel Xeon E5 (Broadwell),"SGI ICE XA (HPE SGI 8600), IP139-SXM2",HPE SGI 8600,Omnipath,Intel Omni-Path,Eastern Asia,Asia,47912,179093
7,287,AIST AI Cloud,"NEC 4U-8GPU Server, Xeon E5-2630Lv4 10C 1.8GHz, Infiniband EDR, NVIDIA Tesla P100 SXM2",National Institute of Advanced Industrial Science and Technology,NEC,Japan,2017,Research,23400,22400,961,2149,76,Submitted,13,,1,23400,,,Cluster,Xeon E5-2630Lv4 10C 1.8GHz,Intel Broadwell,1800,CentOS,Linux,NVIDIA Tesla P100 NVLink,10,Intel Xeon E5 (Broadwell),NEC 4U-8GPU Server,NEC Cluster,Infiniband,Infiniband EDR,Eastern Asia,Asia,50718,179091
8,5,AI Bridging Cloud Infrastructure (ABCI),"PRIMERGY CX2550 M4, Xeon Gold 6148 20C 2.4GHz, NVIDIA Tesla V100 SXM2, Infiniband EDR",National Institute of Advanced Industrial Science and Technology (AIST),Fujitsu,Japan,2018,Research,391680,348160,19880,32577,1649,Submitted,12,,2,10880,,,Cluster,Xeon Gold 6148 20C 2.4GHz,Intel Skylake,2400,Linux,Linux,NVIDIA Tesla V100 SXM2,20,Xeon Gold,PRIMERGY CX2550 M4,Fujitsu PRIMERGY,Infiniband,Infiniband EDR,Eastern Asia,Asia,50762,179393
9,255,MareNostrum P9 CTE,"IBM Power System AC922, IBM POWER9 22C 3.1GHz, Dual-rail Mellanox EDR Infiniband, NVIDIA Tesla V100",Barcelona Supercomputing Center,IBM,Spain,2018,Academic,19440,17280,1018,1486,86,Submitted,12,,,2160,,,Cluster,IBM POWER9 22C 3.1GHz,Power,3100,RHEL 7.4,Linux,NVIDIA Tesla V100,22,IBM POWER9,IBM Power System AC922, IBM Power Systems,Infiniband,Dual-rail Mellanox EDR Infiniband,Southern Europe,Europe,49748,179442
10,173,Wilkes-2,"Dell C4130, Xeon E5-2650v4 12C 2.2GHz, Infiniband EDR, NVIDIA Tesla P100",University of Cambridge,Dell EMC,United Kingdom,2017,Academic,21240,20160,1193,1752,114,Submitted,10,,,20768,,,Cluster,Xeon E5-2650v4 12C 2.2GHz,Intel Broadwell,2200,Scientific Linux,Linux,NVIDIA Tesla P100,12,Intel Xeon E5 (Broadwell),Dell C4130,Dell PowerEdge Cluster,Infiniband,Infiniband EDR,Northern Europe,Europe,49143,179044
