metric,count
opcode,7
total instruction count,15713856
workitems,14336
operand sum,1.57139e+07
total # of barriers hit,0
min instructions to barrier,1056
max instructions to barrier,1131
median instructions to barrier,1101
max simd width,1
mean simd width,1
stdev simd width,0
granularity,6.36381e-08
barriers per instruction,6.36381e-08
instructions per operand,1
total memory footprint,528099
90% memory footprint,449599
global memory address entropy,18.0325
local memory address entropy -- 1 LSBs skipped,18.0611
local memory address entropy -- 2 LSBs skipped,18.0611
local memory address entropy -- 3 LSBs skipped,17.1594
local memory address entropy -- 4 LSBs skipped,16.1207
local memory address entropy -- 5 LSBs skipped,15.108
local memory address entropy -- 6 LSBs skipped,14.1148
local memory address entropy -- 7 LSBs skipped,13.114
local memory address entropy -- 8 LSBs skipped,12.1161
local memory address entropy -- 9 LSBs skipped,11.1174
local memory address entropy -- 10 LSBs skipped,10.1193
total unique branch instructions,2
90% branch instructions,1
branch entropy (yokota),4
branch entropy (average linear),0.0271456
