metric,count
opcode,8
total instruction count,59616
workitems,736
operand sum,59616
total # of barriers hit,0
min instructions to barrier,81
max instructions to barrier,81
median instructions to barrier,81
max simd width,1
mean simd width,1
stdev simd width,0
granularity,1.6774e-05
barriers per instruction,1.6774e-05
instructions per operand,1
total memory footprint,1835
90% memory footprint,1515
global memory address entropy,10.5727
local memory address entropy -- 1 LSBs skipped,10.5728
local memory address entropy -- 2 LSBs skipped,10.5728
local memory address entropy -- 3 LSBs skipped,9.59738
local memory address entropy -- 4 LSBs skipped,8.60971
local memory address entropy -- 5 LSBs skipped,7.61668
local memory address entropy -- 6 LSBs skipped,6.61974
local memory address entropy -- 7 LSBs skipped,5.69448
local memory address entropy -- 8 LSBs skipped,4.70292
local memory address entropy -- 9 LSBs skipped,4.08631
local memory address entropy -- 10 LSBs skipped,3.10966
total unique branch instructions,2
90% branch instructions,2
branch entropy (yokota),2.31128
branch entropy (average linear),0.334351
