metric,count
opcode,10
total instruction count,1082080
workitems,30208
operand sum,1.08208e+06
total # of barriers hit,0
min instructions to barrier,10
max instructions to barrier,36
median instructions to barrier,36
max simd width,1
mean simd width,1
stdev simd width,0
granularity,9.24146e-07
barriers per instruction,9.24146e-07
instructions per operand,1
total memory footprint,54350
90% memory footprint,45350
global memory address entropy,15.4721
local memory address entropy -- 1 LSBs skipped,14.8586
local memory address entropy -- 2 LSBs skipped,14.2334
local memory address entropy -- 3 LSBs skipped,13.2319
local memory address entropy -- 4 LSBs skipped,12.2323
local memory address entropy -- 5 LSBs skipped,11.2324
local memory address entropy -- 6 LSBs skipped,10.2327
local memory address entropy -- 7 LSBs skipped,9.23359
local memory address entropy -- 8 LSBs skipped,8.34209
local memory address entropy -- 9 LSBs skipped,7.51552
local memory address entropy -- 10 LSBs skipped,6.79678
total unique branch instructions,1
90% branch instructions,1
branch entropy (yokota),11.455
branch entropy (average linear),0.000529959
