metric,count
opcode,10
total instruction count,142048
workitems,4096
operand sum,142048
total # of barriers hit,0
min instructions to barrier,10
max instructions to barrier,36
median instructions to barrier,36
max simd width,1
mean simd width,1
stdev simd width,0
granularity,7.03987e-06
barriers per instruction,7.03987e-06
instructions per operand,1
total memory footprint,7104
90% memory footprint,5938
global memory address entropy,12.5321
local memory address entropy -- 1 LSBs skipped,11.9373
local memory address entropy -- 2 LSBs skipped,11.32
local memory address entropy -- 3 LSBs skipped,10.3199
local memory address entropy -- 4 LSBs skipped,9.32062
local memory address entropy -- 5 LSBs skipped,8.3222
local memory address entropy -- 6 LSBs skipped,7.32568
local memory address entropy -- 7 LSBs skipped,6.33803
local memory address entropy -- 8 LSBs skipped,5.45058
local memory address entropy -- 9 LSBs skipped,4.62205
local memory address entropy -- 10 LSBs skipped,3.87368
total unique branch instructions,1
90% branch instructions,1
branch entropy (yokota),11.455
branch entropy (average linear),0.00392253
