metric,count
opcode,8
total instruction count,28536000
workitems,65600
operand sum,2.8536e+07
total # of barriers hit,0
min instructions to barrier,435
max instructions to barrier,435
median instructions to barrier,435
max simd width,1
mean simd width,1
stdev simd width,0
granularity,3.50435e-08
barriers per instruction,3.50435e-08
instructions per operand,1
total memory footprint,1476000
90% memory footprint,1279200
global memory address entropy,20.6045
local memory address entropy -- 1 LSBs skipped,20.5327
local memory address entropy -- 2 LSBs skipped,20.5327
local memory address entropy -- 3 LSBs skipped,19.381
local memory address entropy -- 4 LSBs skipped,18.3595
local memory address entropy -- 5 LSBs skipped,17.3874
local memory address entropy -- 6 LSBs skipped,16.7171
local memory address entropy -- 7 LSBs skipped,15.7322
local memory address entropy -- 8 LSBs skipped,14.7504
local memory address entropy -- 9 LSBs skipped,13.7853
local memory address entropy -- 10 LSBs skipped,12.8548
total unique branch instructions,2
90% branch instructions,1
branch entropy (yokota),4
branch entropy (average linear),0.0625001
