metric,count
opcode,9
total instruction count,173774400
workitems,65600
operand sum,1.73774e+08
total # of barriers hit,0
min instructions to barrier,2649
max instructions to barrier,2649
median instructions to barrier,2649
max simd width,1
mean simd width,1
stdev simd width,0
granularity,5.75459e-09
barriers per instruction,5.75459e-09
instructions per operand,1
total memory footprint,984078
90% memory footprint,786622
global memory address entropy,14.4877
local memory address entropy -- 1 LSBs skipped,14.5106
local memory address entropy -- 2 LSBs skipped,14.5106
local memory address entropy -- 3 LSBs skipped,13.5549
local memory address entropy -- 4 LSBs skipped,12.5761
local memory address entropy -- 5 LSBs skipped,11.5884
local memory address entropy -- 6 LSBs skipped,11.1099
local memory address entropy -- 7 LSBs skipped,10.1317
local memory address entropy -- 8 LSBs skipped,9.20211
local memory address entropy -- 9 LSBs skipped,8.27656
local memory address entropy -- 10 LSBs skipped,7.4734
total unique branch instructions,3
90% branch instructions,1
branch entropy (yokota),6.56128
branch entropy (average linear),0.0740737
