metric,count
opcode,8
total instruction count,890880
workitems,2048
operand sum,890880
total # of barriers hit,0
min instructions to barrier,435
max instructions to barrier,435
median instructions to barrier,435
max simd width,1
mean simd width,1
stdev simd width,0
granularity,1.12249e-06
barriers per instruction,1.12249e-06
instructions per operand,1
total memory footprint,46080
90% memory footprint,39936
global memory address entropy,15.3949
local memory address entropy -- 1 LSBs skipped,15.4034
local memory address entropy -- 2 LSBs skipped,15.4034
local memory address entropy -- 3 LSBs skipped,14.4073
local memory address entropy -- 4 LSBs skipped,13.4057
local memory address entropy -- 5 LSBs skipped,12.4063
local memory address entropy -- 6 LSBs skipped,11.7177
local memory address entropy -- 7 LSBs skipped,10.7307
local memory address entropy -- 8 LSBs skipped,9.74983
local memory address entropy -- 9 LSBs skipped,8.78481
local memory address entropy -- 10 LSBs skipped,7.85307
total unique branch instructions,2
90% branch instructions,1
branch entropy (yokota),4
branch entropy (average linear),0.0625019
