metric,count
opcode,8
total instruction count,8934400
workitems,25600
operand sum,8.9344e+06
total # of barriers hit,0
min instructions to barrier,349
max instructions to barrier,349
median instructions to barrier,349
max simd width,1
mean simd width,1
stdev simd width,0
granularity,1.11927e-07
barriers per instruction,1.11927e-07
instructions per operand,1
total memory footprint,16640
90% memory footprint,3616
global memory address entropy,12.2466
local memory address entropy -- 1 LSBs skipped,12.2505
local memory address entropy -- 2 LSBs skipped,12.2505
local memory address entropy -- 3 LSBs skipped,11.2517
local memory address entropy -- 4 LSBs skipped,10.2516
local memory address entropy -- 5 LSBs skipped,9.25197
local memory address entropy -- 6 LSBs skipped,8.2518
local memory address entropy -- 7 LSBs skipped,7.75249
local memory address entropy -- 8 LSBs skipped,7.27312
local memory address entropy -- 9 LSBs skipped,6.78371
local memory address entropy -- 10 LSBs skipped,6.18193
total unique branch instructions,1
90% branch instructions,1
branch entropy (yokota),4
branch entropy (average linear),0.117647
