metric,count
opcode,8
total instruction count,1429504
workitems,4096
operand sum,1.4295e+06
total # of barriers hit,0
min instructions to barrier,349
max instructions to barrier,349
median instructions to barrier,349
max simd width,1
mean simd width,1
stdev simd width,0
granularity,6.99543e-07
barriers per instruction,6.99543e-07
instructions per operand,1
total memory footprint,3584
90% memory footprint,1447
global memory address entropy,10.8516
local memory address entropy -- 1 LSBs skipped,10.8522
local memory address entropy -- 2 LSBs skipped,10.8522
local memory address entropy -- 3 LSBs skipped,9.85232
local memory address entropy -- 4 LSBs skipped,8.85217
local memory address entropy -- 5 LSBs skipped,7.85217
local memory address entropy -- 6 LSBs skipped,6.85217
local memory address entropy -- 7 LSBs skipped,6.36003
local memory address entropy -- 8 LSBs skipped,5.74093
local memory address entropy -- 9 LSBs skipped,4.81895
local memory address entropy -- 10 LSBs skipped,3.97297
total unique branch instructions,1
90% branch instructions,1
branch entropy (yokota),4
branch entropy (average linear),0.117647
