metric,count
opcode,1
total instruction count,5809593600
workitems,16646400
operand sum,5.80959e+09
total # of barriers hit,0
min instructions to barrier,349
max instructions to barrier,349
median instructions to barrier,349
min instructions executed by a work-item,349
max instructions executed by a work-item,349
median instructions executed by a work-item,349
max simd width,1
mean simd width,1
stdev simd width,0
granularity,1.72129e-10
barriers per instruction,1.72129e-10
instructions per operand,1
total memory footprint,16776960
90% memory footprint,124848
global memory address entropy,16.0644
local memory address entropy -- 1 LSBs skipped,13.5971
local memory address entropy -- 2 LSBs skipped,13.5971
local memory address entropy -- 3 LSBs skipped,13.5971
local memory address entropy -- 4 LSBs skipped,13.5971
local memory address entropy -- 5 LSBs skipped,13.5971
local memory address entropy -- 6 LSBs skipped,13.5971
local memory address entropy -- 7 LSBs skipped,13.5971
local memory address entropy -- 8 LSBs skipped,12.6333
local memory address entropy -- 9 LSBs skipped,12.1283
local memory address entropy -- 10 LSBs skipped,11.5835
total unique branch instructions,1
90% branch instructions,1
branch entropy (yokota),4
branch entropy (average linear),0.117647
