metric,count
opcode,8
total instruction count,343438336
workitems,984064
operand sum,3.43438e+08
total # of barriers hit,0
min instructions to barrier,349
max instructions to barrier,349
median instructions to barrier,349
min instructions executed by a work-item,349
max instructions executed by a work-item,349
median instructions executed by a work-item,349
max simd width,1
mean simd width,1
stdev simd width,0
granularity,2.91173e-09
barriers per instruction,2.91173e-09
instructions per operand,1
total memory footprint,1015808
90% memory footprint,30356
global memory address entropy,16.038
local memory address entropy -- 1 LSBs skipped,13.6028
local memory address entropy -- 2 LSBs skipped,13.6028
local memory address entropy -- 3 LSBs skipped,13.6028
local memory address entropy -- 4 LSBs skipped,13.6028
local memory address entropy -- 5 LSBs skipped,12.7853
local memory address entropy -- 6 LSBs skipped,12.0179
local memory address entropy -- 7 LSBs skipped,11.4857
local memory address entropy -- 8 LSBs skipped,10.7379
local memory address entropy -- 9 LSBs skipped,10.108
local memory address entropy -- 10 LSBs skipped,9.55013
total unique branch instructions,1
90% branch instructions,1
branch entropy (yokota),4
branch entropy (average linear),0.117647
