metric,count
opcode,10
total instruction count,1466368
workitems,512
operand sum,1.46637e+06
total # of barriers hit,0
min instructions to barrier,2520
max instructions to barrier,3208
median instructions to barrier,2864
min instructions executed by a work-item,2520
max instructions executed by a work-item,3208
median instructions executed by a work-item,2864
max simd width,1
mean simd width,1
stdev simd width,0
granularity,6.81957e-07
barriers per instruction,6.81957e-07
instructions per operand,1
total memory footprint,8448
90% memory footprint,6915
global memory address entropy,12.525
local memory address entropy -- 1 LSBs skipped,10.5841
local memory address entropy -- 2 LSBs skipped,10.5841
local memory address entropy -- 3 LSBs skipped,10.5841
local memory address entropy -- 4 LSBs skipped,10.5841
local memory address entropy -- 5 LSBs skipped,9.76365
local memory address entropy -- 6 LSBs skipped,9.12588
local memory address entropy -- 7 LSBs skipped,8.72741
local memory address entropy -- 8 LSBs skipped,8.03362
local memory address entropy -- 9 LSBs skipped,7.49573
local memory address entropy -- 10 LSBs skipped,7.06112
total unique branch instructions,5
90% branch instructions,3
branch entropy (yokota),85.282
branch entropy (average linear),0.21884
