metric,count
opcode,10
total instruction count,1191424
workitems,416
operand sum,1.19142e+06
total # of barriers hit,0
min instructions to barrier,2520
max instructions to barrier,3208
median instructions to barrier,2864
min instructions executed by a work-item,2520
max instructions executed by a work-item,3208
median instructions executed by a work-item,2864
max simd width,1
mean simd width,1
stdev simd width,0
granularity,8.39332e-07
barriers per instruction,8.39332e-07
instructions per operand,1
total memory footprint,6912
90% memory footprint,5667
global memory address entropy,12.3018
local memory address entropy -- 1 LSBs skipped,12.302
local memory address entropy -- 2 LSBs skipped,12.302
local memory address entropy -- 3 LSBs skipped,11.3024
local memory address entropy -- 4 LSBs skipped,10.3029
local memory address entropy -- 5 LSBs skipped,9.60664
local memory address entropy -- 6 LSBs skipped,8.82141
local memory address entropy -- 7 LSBs skipped,8.14515
local memory address entropy -- 8 LSBs skipped,7.54193
local memory address entropy -- 9 LSBs skipped,6.95805
local memory address entropy -- 10 LSBs skipped,6.32583
total unique branch instructions,5
90% branch instructions,3
branch entropy (yokota),85.282
branch entropy (average linear),0.218813
