metric,count
opcode,10
total instruction count,366592
workitems,128
operand sum,366592
total # of barriers hit,0
min instructions to barrier,2520
max instructions to barrier,3208
median instructions to barrier,2864
min instructions executed by a work-item,2520
max instructions executed by a work-item,3208
median instructions executed by a work-item,2864
max simd width,1
mean simd width,1
stdev simd width,0
granularity,2.72783e-06
barriers per instruction,2.72783e-06
instructions per operand,1
total memory footprint,2304
90% memory footprint,1921
global memory address entropy,11.0335
local memory address entropy -- 1 LSBs skipped,11.0336
local memory address entropy -- 2 LSBs skipped,11.0336
local memory address entropy -- 3 LSBs skipped,10.0338
local memory address entropy -- 4 LSBs skipped,9.03424
local memory address entropy -- 5 LSBs skipped,8.26272
local memory address entropy -- 6 LSBs skipped,7.36703
local memory address entropy -- 7 LSBs skipped,6.65071
local memory address entropy -- 8 LSBs skipped,6.00965
local memory address entropy -- 9 LSBs skipped,5.06624
local memory address entropy -- 10 LSBs skipped,4.14849
total unique branch instructions,5
90% branch instructions,3
branch entropy (yokota),85.282
branch entropy (average linear),0.218495
